id,name
937,Angry Mob Games
938,HeroCraft PC
939,Dreamatrix
940,Chaosoft Games
941,TIKIPOD
942,TwinDrills
943,A Jolly Corpse
944,Senpai Studios
945,Nkidu Games Inc.
946,Vae Victis Games
947,Vitali Kirpu
948,Waz Games
949,Silver Dollar Games
950,TawStudio Entertainment
951,Interdimensional Games Inc
952,Zaxis Games
953,Krealit
954,Reef Entertainment
955,Rocket Jump
956,Sekai Project
957,Lucid Games Ltd
958,Lantana Games
959,Bloober Team SA
960,Greg Lobanov
961,Rockin Android
962,Ironward
963,Matt Roszak
964,Fistful of Frags Team
965,KinifiGames LLC
966,Limasse Five
967,KEMCO
968,Switchblade Monkeys Entertainment
969,Net Games Distribution LTD
970,The Working Parts
971,PIXOWL INC.
972,Nowhere Studios
973,Sherman3D
974,Matthew Brown
975,White Paper Games
976,Wastelands Interactive
977,Epixx.org
978,Thomas Bowker
979,Peoleo Entertainment
980,Homegrown Games
981,Project Whitecard Studios Inc.
982,Versus Evil
983,Snowed In Studios
984,Tethys Interactive LLC
985,White Giant RPG Studios
986,Deadly Red Cube
987,Bill and Eli Productions
988,SIG Publishing
989,Seaven Studio
990,Bongfish GmbH
991,Hammer Labs
992,iRacing.com Motorsport Simulations
993,Elijah Newman-Gomez
994,Max Gaming Technologies
995,BitMonster
996,Defiant Development
997,Axis Game Factory LLC
998,BANDAI NAMCO Entertainement
999,Clickteam
1000,Storybird
1001,Nomad Games 
1002,WaveDNA
1003,Arc System Works
1004,Funbox Media Ltd
1005,INSGAMES LIMITED
1006,Phenomenon Games
1007,Barnyard Intelligence Games
1008,Aeria Games
1009,Reverb
1010,Brilliant Skies Ltd.
1011,Liminal Games
1012,Condition One
1013,SmashGames
1014,Robit Games
1015,5 Lives Studios
1016,Eversim
1017,Studio MDHR Entertainment Inc.
1018,Visual Outbreak
1019,ToMorning Productions
1020,Ska Studios
1021,Damian Sommer
1022,Simogo
1023,Perilous Orbit
1024,Dear Villagers
1025,Panic Art Studios
1026,Culture Attack Studio
1027,Fred Wood
1028,Toge Productions
1029,Bedtime Digital Games
1030,Organic Humans
1031,Hexage
1032,Polynetix Studio
1033,TreeFortress Games
1034,Slav Pankratov
1035,The Indie Forge
1036,Ranmantaru Games
1037,Dev Arc
1038,Dreadlocks Ltd.
1039,Frogmind
1040,Morgondag
1041,HB Studios
1042,Pixel Ferrets
1043,Digital Happiness
1044,Ayyo Games
1045,Coatsink
1046,GATO STUDIO
1047,Laminar Research
1048, 
1049,David Amador
1050,Flying Carpets Games
1051,KPL
1052,MindBlocks Studio
1053,Cloudhead Games ltd.
1054,Osumia Games
1055,The Quinnspiracy
1056,Chicken in The Corn
1057,Icetesy SPRL
1058,Digital Media Workshop
1059,Flox Studios 
1060,Squinkifer Productions
1061,bitSmith Games
1062,Cypress Inheritance
1063,82 Apps
1064,Tin Man Games
1065,Uppercut Games Pty Ltd
1066,3f Interactive
1067,Trickster Face
1068,Himalaya Studios
1069,SFB Games
1070,Bitbox Games
1071,PlayWay S.A.
1072,Axis Game Factory
1073,Sumo Digital
1074,Michael Todd Games
1075,BumpkinBrothers
1076,Mastertronic
1077,Vaka Game Magazine
1078,Dead Mage
1079,Fellow Traveller
1080,Nexon Korea Corporation
1081,Loren Lemcke
1082,Interplay Corp
1083,Reiza Studios
1084,Sunlight Games
1085,United Independent Entertainment GmbH
1086,Camel 101
1087,rondomedia GmbH
1088,Vagabond Dog
1089,Stellar Jockeys
1090,Acid Wizard Studio
1091,Laser Guided Games
1092,Kiss Ltd
1093,JForce Games
1094,Digital Confectioners
1095,WEB Gaming Entertainment
1096,Three Flip Studios
1097,Midnight City 
1098,Graviteam
1099,familyplay
1100,Spilt Milk Studios Ltd
1101,Dancing Devils
1102,Aldorlea Games
1103,Merge Games
1104,Merge Publishing
1105,Screaming Bee
1106,Tricktale
1107,HyperKat Games
1108,Nerd Kingdom Inc.
1109,Alastair John Jack
1110,Дмитриев Максим Константинович
1111,Valorware
1112,Last Dimension
1113,Owl Cave
1114,Games-Up
1115,Microids Indie
